FileName,run,run_id,umol.L.sec,Intercept,Temp.C
RW_PI_20_2_20240617_O2,350,RW_PI_20_2_20240617_O2_350,0.018269912280702037,280.91300377192965,20.33790322580645
RW_PI_20_2_20240617_O2,450,RW_PI_20_2_20240617_O2_450,0.020978369565217106,292.16720134057994,20.349709677419355
RW_PI_20_2_20240617_O2,600,RW_PI_20_2_20240617_O2_600,0.023006957264957426,304.77851953846147,20.30574193548387
RW_PI_20_2_20240617_O2,800,RW_PI_20_2_20240617_O2_800,0.022722096774193498,318.4789069354839,20.31651612903226
RW_PI_20_3_20240617_O2,0,RW_PI_20_3_20240617_O2_0,-0.00733115830115825,171.46966110253106,19.79943548387097
RW_PI_20_3_20240617_O2,100,RW_PI_20_3_20240617_O2_100,-0.0024021409749670998,161.92012467061926,19.892016393442624
RW_PI_20_3_20240617_O2,150,RW_PI_20_3_20240617_O2_150,-0.0013287662337661964,159.02784781385282,19.98183870967742
RW_PI_20_3_20240617_O2,200,RW_PI_20_3_20240617_O2_200,0.0024743577075097526,157.7683655632412,20.049709677419354
RW_PI_20_3_20240617_O2,260,RW_PI_20_3_20240617_O2_260,0.004544961538461436,159.08988657692313,20.131096774193548
RW_PI_20_3_20240617_O2,350,RW_PI_20_3_20240617_O2_350,0.007616090225563991,161.7054613533834,20.21077419354839
RW_PI_20_3_20240617_O2,450,RW_PI_20_3_20240617_O2_450,0.011285492610837406,166.56439135467983,20.19709677419355
RW_PI_20_3_20240617_O2,600,RW_PI_20_3_20240617_O2_600,0.013151465201465201,173.07958642653642,20.127225806451612
RW_PI_20_3_20240617_O2,800,RW_PI_20_3_20240617_O2_800,0.013473177339901488,180.96659283251233,20.111709677419356
RW_PI_20_4_20240617_O2,0,RW_PI_20_4_20240617_O2_0,-0.00773771409749672,207.5182696420729,19.848295081967212
RW_PI_20_4_20240617_O2,100,RW_PI_20_4_20240617_O2_100,1.7420598211536102e-4,197.23806261177916,19.94344262295082
RW_PI_20_4_20240617_O2,150,RW_PI_20_4_20240617_O2_150,0.0015375201612903287,197.37662578629033,20.03290322580645
RW_PI_20_4_20240617_O2,200,RW_PI_20_4_20240617_O2_200,0.0076181168831167745,198.52111651515162,20.10577419354839
RW_PI_20_4_20240617_O2,260,RW_PI_20_4_20240617_O2_260,0.011079653846153881,202.61531803846154,20.184516129032257
RW_PI_20_4_20240617_O2,350,RW_PI_20_4_20240617_O2_350,0.01701963043478262,209.0622587753623,20.271677419354837
RW_PI_20_4_20240617_O2,450,RW_PI_20_4_20240617_O2_450,0.02006191304347823,219.18569808695656,20.28393548387097
RW_PI_20_4_20240617_O2,600,RW_PI_20_4_20240617_O2_600,0.02367404347826086,229.520000884058,20.216387096774195
RW_PI_20_4_20240617_O2,800,RW_PI_20_4_20240617_O2_800,0.023638153846153913,244.11796492307684,20.197774193548387
